source_id,org,title,url,primary_or_secondary
S01,Swiggy,Q2 FY2026 Shareholder Letter,https://www.swiggy.com/corporate/wp-content/uploads/2025/10/Q2-FY2026-Shareholder-letter.pdf,primary
S02,Swiggy,Investor Relations — Financial Results hub,https://www.swiggy.com/corporate/investor-relations/financial-results/,primary
S03,Groww,Swiggy Q4 FY26 Results blog,https://groww.in/blog/swiggy-q4-fy26-results,secondary
S04,Storyboard18,"Swiggy Instamart expands to 1,143 dark stores, Q4 FY26",https://www.storyboard18.com/brand-marketing/swiggy-instamart-gov-jumps-69-percent-as-losses-narrow-in-q4-fy26-ws-l-97590.htm,secondary
S05,INDmoney,"Swiggy Q4 FY26: Revenue up 45%, stock 44% below peak",https://www.indmoney.com/blog/stocks/swiggy-q4-fy26-results-stock-falling-explained,secondary
S06,Whalesbook,Swiggy's Instamart Prioritizes Profit Over Growth,https://www.whalesbook.com/news/English/consumer-products/Swiggys-Instamart-Prioritizes-Profit-Over-Growth-Amid-Competition/6a014780707d23e8442d3efa,secondary
S07,Whalesbook,"Swiggy Q4: Revenue jumps 45%, Instamart losses mount; Jefferies cuts target",https://www.whalesbook.com/news/English/tech/Swiggy-Q4-Revenue-Jumps-45percent-Instamart-Losses-Mount-Jefferies-Cuts-Target/6a0433139444064ed0161b9d,secondary
S08,MarketsMojo,"Swiggy Q4 FY26: losses narrow, path to profitability uncertain",https://www.marketsmojo.com/news/result-analysis/swiggy-q4-fy26-losses-narrow-sharply-as-revenue-momentum-builds-but-path-to-profitability-remains-uncertain-3982428,secondary
S09,Multibagg,"Swiggy Q4 Results FY26: loss narrows, revenue +45%",https://www.multibagg.ai/market-pulse/articles/swiggy-q4-fy26-loss-revenue-cmowttr5q01tmmn0j134e33zk,secondary
S10,Univest,Swiggy Q4 results FY26 loss 800cr revenue 6383cr,https://univest.in/blogs/swiggy-q4-results-fy26-loss-800-crore-revenue-6383-crore-2,secondary
S11,Alpha Spread,Swiggy Ltd investor relations summary,https://www.alphaspread.com/security/nse/swiggy/investor-relations,secondary
S12,Screener.in,Swiggy Ltd company page (consolidated financials),https://www.screener.in/company/SWIGGY/consolidated/,secondary
S13,Inc42,Eternal Q4: Blinkit's adjusted EBITDA jumps 9x QoQ to ₹37 Cr,https://inc42.com/buzz/eternal-q4-blinkits-adjusted-ebitda-jumps-9x-qoq-to-%E2%82%B937-cr/,secondary
S14,Sahi,"Eternal Q4 FY26: Profit +346%, Blinkit EBITDA positive for first time",https://www.sahi.com/blogs/eternal-limited-zomato-parent-q4-fy26-results-analysis,secondary
S15,Quash,"Blinkit in 2026: Revenue, Market Share, Profitability, What Comes Next",https://quashbugs.com/blog/blinkit-surpasses-zomato-in-quick-commerce,secondary
S16,BSE India,Swiggy corporate presentation (exchange filing),https://www.bseindia.com/xml-data/corpfiling/AttachHIS/5bec0774-d901-48d2-b848-12c8a37842a8.pdf,primary
S17,Trendlyne,Swiggy Ltd. investor presentation mirror,https://trendlyne.com/investor-presentations/2755533/SWIGGY/swiggy-ltd/,secondary
S18,TechCrunch,Zomato raises $1B ahead of rival Swiggy India IPO,https://techcrunch.com/2024/10/22/zomato-to-raise-1b-ahead-of-rival-swiggy-india-ipo,secondary
S19,Zepto,"Zepto UDRHP — FY26 figures (order share, NRV, ad revenue) via Entrackr/Angel One/Storyboard18 coverage",https://entrackr.com/analysis/instamarts-share-among-top-q-comm-players-drops-from-34-to-21-in-2-years-12018833,primary-via-secondary
S20,Nomura,Quick commerce density research note (cited via secondary press coverage),UNCONFIRMED — original Nomura note not directly accessed,secondary
S21,Bernstein,Quick commerce dark-store profitability research note (cited via secondary press coverage),UNCONFIRMED — original Bernstein note not directly accessed,secondary
S22,Jefferies,Swiggy/Instamart earnings estimate revision note (cited via Whalesbook),UNCONFIRMED — original Jefferies note not directly accessed,secondary
S23,Datum Intelligence / Reuters,"QC market share snapshot Jan 2026 (Blinkit 46 / Instamart 24 / Zepto 22); note variance: BofA >50% Blinkit, Zepto UDRHP self-claim 29%",https://startupfeed.in/quick-commerce-war-2026-blinkit-zepto-instamart-amazon-flipkart/,secondary
S24,JM Financial / Business Standard,"Swiggy Q4 preview — take-rate estimates (Instamart ~19.5% on NOV; Swiggy FD ~23%, Motilal ~22.8%)",https://www.business-standard.com/markets/news/swiggy-share-price-nse-bse-q4-results-profit-revenue-food-delivery-quick-commerce-nov-gov-gmv-nmv-instamart-126050500152_1.html,secondary
S25,Internal synthesis,Figure cited in the MECE issue-tree case-study report's prose without an individually traceable URL,N/A — see original issue-tree report for the source chain; recommend re-verifying against a primary filing before using in a final deck,secondary
S26,Swiggy,Q4 FY2026 Shareholder Letter,https://www.swiggy.com/corporate/wp-content/uploads/2026/05/Q4-FY2026-Shareholder-letter.pdf,primary
S27,Eternal,Eternal (Blinkit) Q4 FY2026 Shareholder Letter,https://b.zmtcdn.com/investor-relations/Eternal_Limited_Shareholders_Letter_Q4FY26_Results.pdf,primary
S28,MediaNama,"Eternal Q2 FY26 call — CFO Akshant Goyal on Blinkit inventory margin accretion (~100bps EBITDA, ~300bps gross margin, over 4-6 quarters)",https://www.medianama.com/2025/10/223-blinkit-eternal-q2fy26-growth-zomato-food-delivery/,secondary
S29,Investyadnya,"Blinkit unit economics implying ~Rs 1cr capex/store (~Rs 26cr NOV/yr, ~40% ROCE); Zomato filings ~Rs 370cr for 368 stores",https://shop.investyadnya.in/blogs/market-trends/blinkit-vs-d-mart-how-quick-commerce-is-disrupting-india-s-retail-empire,secondary
S30,Redseer,"The Dark Store Blind Spot — mature-metro breakeven density ~1,200-1,250; PAN-India OPD/store ~1,255; non-metro ~850",https://redseer.com/articles/the-dark-store-blind-spot-the-part-of-quick-commerce-growth-that-the-topline-doesnt-show/,secondary
S31,Outlook Business,"Swiggy IOCC resolution 72.35-72.36% vs 75% needed (SEBI filing coverage); postal ballot closed 20 May 2026",https://www.outlookbusiness.com/corporate/swiggy-misses-threshold-in-bid-to-become-indian-owned-company,secondary
S32,MediaNama,"Swiggy Rs 10,000cr QIP — Rs 4,475cr earmarked for QC fulfilment",https://www.medianama.com/2025/12/223-swiggy-half-10000-cr-qip-quick-commerce/,secondary
S33,Storyboard18,"Dark stores explained — Blinkit 3-6mo store maturation, non-metro 6-12mo (Bernstein)",https://www.storyboard18.com/trending/dark-stores-explained-how-blinkit-zepto-are-building-dense-networks-for-quick-commerce-growth-95233.htm,secondary
S34,Inc42,"Amazon Now (100 cities / 1,000+ MFCs / Rs 2,800cr) and Flipkart Minutes (~800 stores, +100/mo)",https://inc42.com/buzz/amazon-to-expand-quick-commerce-service-to-100-cities-in-india/,secondary
S35,Inc42,"Reliance JioMart QC — ~1.6M orders/day Q3 FY26 (+53% QoQ), CM-positive claim (CFO Taluja)",https://inc42.com/features/reliance-jiomart-quick-commerce-push-rattle-blinkit-zepto/,secondary
S36,INDmoney,"Per-order loss derivation from filings (Instamart Rs 85.18, Blinkit Rs 3.02 FY26)",https://www.indmoney.com/blog/stocks/zepto-blinkit-instamart-loss-per-order-profitability,secondary
S37,Storyboard18,"Zepto advertising revenue Rs 1,636cr FY26 (+151%), ~7.8% of NRV (UDRHP)",https://www.storyboard18.com/amp/brand-marketing/zepto-ad-revenue-jumps-151-percent-in-fy26-ahead-of-ipo-debut-ws-l-100656.htm,secondary
S38,Business Standard,"BofA Nov-2025 survey — 20% use both food-delivery apps (cross-app overlap, NOT food->grocery cross-sell)",https://www.business-standard.com/industry/news/blinkit-tops-qcom-charts-swiggy-takes-lead-in-food-delivery-bofa-survey-125112501035_1.html,secondary
S39,Inc42,"Zepto density derivation — ~23.3 lakh orders/day / ~1,139 stores (UDRHP)",https://inc42.com/features/zeptos-battle-beyond-speed/,secondary
S40,Government of India (DPIIT) / press coverage,"FDI policy on e-commerce: marketplace model 100% FDI (automatic) vs inventory-based model prohibited for foreign-funded entities — the basis for the IOCC requirement (Press Note 2 of 2018 / consolidated FDI policy); plus coverage of Swiggy's IOCC special-resolution result",UNCONFIRMED — verify against DPIIT FDI policy + Swiggy postal-ballot/SEBI filing before publishing,secondary
